requirement_type,requirement_value,name,description,score,is_visible
clear_count,1,駆け出しの旅人,第一歩を踏み出した挑戦者,10,0
clear_count,10,漢字見習い,10の文字を超えた知の足跡,100,0
clear_count,50,習熟の剣士,知識という刃が光り始める,500,0
clear_count,100,漢字の従者,百の文字を制した者に贈られる印,1000,0
clear_count,200,熟練の読み師,研鑽を重ねし者に宿る識の力,2000,0
clear_count,300,筆神の使徒,筆が意思を持ち始める,3000,0
clear_count,400,知恵の賢者,極みに近づいた知の賢者,4000,0
clear_count,500,漢字玄人,その目に映るは、すべて理解の対象,5000,0
clear_count,750,漢字仙人,生きとし生ける文字の導き手,7500,0
clear_rate,50,語彙探求者,半分の漢字を制覇した知識の旅人,3000,1
all_clear,,漢字の覇者,あらゆる字を掌中に収めし者,10000,1
consec_count,5,五段撃,連なる正答のリズムが響き始めた,40,1
consec_count,20,無双の連,流れるような正答の舞,160,1
consec_count,40,正答の鬼神,止まらぬ正答、迷いなき指先,320,1
consec_count,80,不滅の閃光,まばゆいほどの連勝はもはや運命を超えた,640,1
consec_count,100,真理の連環,真理に到達する者のみが知る、終わりなき連答,800,1
consec_count,200,正答の極,その連正解、もはや神業,1000,1
total_answers,10,初陣の記録,最初の十問、ここからすべてが始まる,30,0
total_answers,50,回答の歩み,一歩ずつ、確かな知識を刻み込め,150,0
total_answers,100,習熟の兆し,積み重ねた百の挑戦が自信へと変わる,300,0
total_answers,200,記録の旅路,経験が語る、君だけの学習譚,600,0
total_answers,500,千里の道,継続は力なり,1500,0
total_answers,1000,千問無双,千問解いたその背に、誰もが尊敬のまなざしを向ける,3000,0
total_answers,2000,永劫の学徒,止まることを知らぬ解答者、己を磨く求道者,6000,0
total_answers,5000,無窮の求道,終わりなき問いに挑む、答える者の誇り,15000,0
answers_in_day,50,集中のひととき,ひとつのことに集中した証,50,1
answers_in_day,100,一日百練,一日百問を解いた修行者,100,1
answers_in_day,200,回答の疾風,その勢い、止められない！,200,1
answers_in_day,400,怒涛の一日,知識に全力投球したその日、きっと忘れない,400,1
answers_in_day,800,忍耐の修行僧,画面と己に向き合い続けた,800,1
answers_in_day,1000,限界突破,学びの疾走が止まらない,1000,1
total_score,1000,手応えあり,重ねたスコアが努力の証に変わる,0,0
total_score,5000,成果の足跡,その軌跡に、確かな成長を見た,0,0
total_score,10000,黄金の学徒,その努力、まさに金の価値,0,0
total_score,50000,数値の覇者,君のスコアは、勝者の証,0,0
total_score,100000,修練王,積み上げし者にだけ許された玉座,0,0
total_score,1000000,神域の記録,伝説の始まり,0,0
score_in_day,100,小さな戦果,今日の成果は今日のもの,0,1
score_in_day,400,快調発進,滑り出しは順調,0,1
score_in_day,1000,瞬間加速,その集中が、今の君を変える,0,1
score_in_day,5000,学びのラッシュ,集中力の塊,0,1
score_in_day,10000,エンジン全開,その日の君は、誰よりも熱かった,0,1